"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUOTHER"
183323,"H",2,3301,1,42,1000000,1001264,124,5,1,1,1,0,1,4,2,2,2,2,0,2,2,250,2,2,2,250,2,1,0,1,0,1,0,0,0,0,2,1,6,2,1900,1,9,2,1,0,1,1,3,1,0,0,2,80,3,3,1,1,1,59820,2,0,0,2407,48,2,1,59820,9,0,2,2,2,1,1,1,3,3,5,0,0
183382,"H",2,1600,1,42,1000000,1001264,29,2,1,1,1,0,1,4,2,2,2,2,0,2,2,120,2,2,2,260,1,1,200,1,0,1,1,450,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,155000,2,860,4,3,0,0,0,36400,4,0,1,0,0,1,1,36400,9,0,4,4,4,1,1,1,7,0,2,0,0
183400,"H",2,1000,1,42,1000000,1001264,106,1,1,3,0,0,1,1,9,0,0,2,0,0,0,1,0,2,1,1,2,1,0,2,0,0,0,0,0,0,0,1,3,2,330,1,9,0,1,0,1,1,3,1,0,0,0,1,5,0,0,0,1,0,0,0,0,330,25,1,6,16000,9,0,4,4,4,1,1,1,3,0,0,0,0
183401,"H",2,3209,1,42,1000000,1001264,130,2,1,1,1,0,1,2,3,1,2,2,0,2,1,140,2,2,2,40,1,1,3000,1,0,2,2,1300,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,5e+05,1,40,1,7,1,0,1,40000,2,0,1,0,0,1,3,40000,9,0,2,2,2,1,1,1,3,1,2,0,1.45519152283669e-11
183518,"H",2,3603,1,42,1000000,1001264,50,4,1,1,2,1,1,4,2,2,2,2,0,2,2,200,2,2,2,3,1,3,600,1,0,2,2,1300,2,1,2,1,9,0,0,1,9,1,1,0,1,1,1,1,0,375000,2,2,18,1,0,0,0,123000,1,0,0,0,0,1,1,123000,9,0,1,1,1,1,1,1,2,2,4,0,0
183562,"H",2,1300,1,42,1000000,1001264,62,1,1,1,2,1,1,4,2,1,2,2,0,1,1,50,2,2,2,120,1,1,400,1,0,2,2,330,2,2,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,120000,1,500,1,0,0,0,0,0,0,0,0,0,0,1,6,45000,9,0,4,4,4,1,1,1,3,0,0,0,0
183563,"H",2,2100,1,42,1000000,1001264,82,2,1,1,1,0,1,3,2,1,2,1,0,2,2,130,2,2,2,80,1,1,600,1,0,1,2,610,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,120000,3,600,5,7,0,0,0,58000,4,0,0,0,0,1,3,58000,9,0,4,4,4,1,1,1,6,0,2,0,7.27595761418343e-12
183586,"H",2,3404,1,42,1000000,1001264,90,2,1,1,2,1,1,4,2,2,2,2,0,2,2,180,2,2,2,200,2,1,700,1,0,2,0,0,0,3,2,1,10,0,0,1,9,1,1,0,1,1,2,1,0,2e+05,1,70,4,4,1,0,1,50600,4,0,0,0,0,1,1,50600,9,0,4,4,4,1,1,1,5,0,2,0,7.27595761418343e-12
183634,"H",2,200,1,42,1000000,1001264,30,2,1,3,3,6,1,1,1,0,2,2,0,0,0,30,0,2,2,3,2,3,580,1,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,2e+05,2,2,6,4,0,0,0,132400,4,0,0,0,0,1,1,132400,9,0,4,4,4,1,1,1,4,0,2,0,0
183685,"H",2,3211,1,42,1000000,1001264,84,1,1,3,2,1,1,3,2,0,2,2,0,0,0,120,0,2,2,180,2,1,2500,2,0,0,1,1500,1,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,1813000,0,840,1,0,0,0,1,0,0,0,1,0,0,1,4,0,9,0,4,4,4,1,1,1,3,0,0,0,0
183695,"H",2,1501,1,42,1000000,1001264,61,3,1,1,1,0,1,3,1,1,2,2,0,1,2,190,2,2,2,80,1,1,530,1,4500,1,2,280,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,65000,3,80,4,1,0,0,0,68000,2,0,1,0,0,1,1,68000,9,0,2,2,2,1,1,1,6,1,3,0,0
183702,"H",2,2301,1,42,1000000,1001264,93,1,1,3,0,0,1,0,5,0,0,2,0,0,0,40,0,2,2,3,1,3,0,2,0,0,0,0,0,0,0,1,1,2,450,1,9,0,1,0,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,490,18,2,4,31900,9,0,4,4,4,1,2,1,3,0,0,0,0
183810,"H",2,2702,1,42,1000000,1001264,151,3,1,1,1,0,1,2,3,1,2,2,0,2,2,80,2,1,2,30,1,1,0,1,0,2,0,0,0,0,2,1,4,2,440,1,9,1,1,0,1,1,3,1,0,0,0,540,2,7,0,0,0,7200,1,0,0,595,99,2,3,7200,9,0,1,1,1,1,1,1,1,2,3,0,0
183828,"H",2,4002,1,42,1000000,1001264,33,3,1,1,2,1,1,3,2,1,2,2,0,2,1,150,2,2,2,3,1,3,750,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,3,2,6,1,1,0,1,76000,4,0,1,0,0,1,1,76000,9,0,4,4,4,1,1,1,6,0,3,0,0
183831,"H",2,1900,1,42,1000000,1001264,20,3,1,1,1,0,1,2,2,1,2,2,0,2,1,70,2,2,2,30,1,1,900,1,0,2,1,550,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,80000,2,720,3,2,1,0,1,75000,1,0,1,0,0,1,1,75000,9,0,1,1,1,1,1,1,4,1,3,0,0.00100000000020373
183846,"H",2,600,1,42,1000000,1001264,245,2,1,3,0,0,1,1,5,0,0,2,0,0,0,1,0,1,2,1,2,1,0,2,0,0,0,0,0,0,0,1,3,2,750,1,9,0,1,0,1,2,3,1,0,0,0,1,3,5,1,0,1,16800,2,0,0,750,54,1,2,16800,9,0,2,2,2,1,1,1,2,1,2,0,0
183897,"H",2,4002,1,42,1000000,1001264,84,3,1,1,1,0,1,3,2,2,2,2,0,2,2,70,2,2,2,140,1,1,800,1,0,1,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,150000,3,650,1,2,0,0,0,161700,4,0,0,0,0,1,1,161700,9,0,4,4,4,1,1,1,4,0,3,0,0.000999999996565748
183932,"H",2,3602,1,42,1000000,1001264,105,1,1,1,2,1,1,3,2,1,2,2,0,2,2,300,2,2,2,3,1,3,700,1,0,1,2,600,2,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,179000,1,2,5,0,0,0,1,0,0,0,1,0,0,1,6,12600,9,0,4,4,4,1,1,1,7,0,0,0,0
183939,"H",2,1600,1,42,1000000,1001264,382,4,1,1,1,0,1,4,2,1,2,1,0,2,2,150,2,2,2,160,1,1,0,1,0,1,0,0,0,0,2,1,8,2,860,1,9,2,1,0,1,1,3,1,0,0,2,540,1,7,1,0,1,32300,3,0,0,1215,30,1,3,48500,9,0,3,3,3,1,1,1,1,2,3,0,-7.27595761418343e-12
183981,"H",2,1701,1,42,1000000,1001264,52,3,1,3,0,0,1,1,8,0,0,2,0,0,0,30,0,2,2,90,2,1,0,2,0,0,0,0,0,0,0,1,3,2,320,1,9,0,1,0,1,1,3,1,0,0,0,2,7,8,1,1,1,11280,4,0,0,440,47,1,3,11280,9,0,4,4,4,1,1,2,4,0,3,0,0
184025,"H",2,3206,1,42,1000000,1001264,55,4,1,1,0,0,1,2,6,2,0,2,0,2,2,50,2,2,2,80,2,1,0,1,0,1,0,0,0,0,2,1,5,2,1300,1,9,2,1,0,1,1,3,1,0,0,2,2,3,3,0,0,0,122000,2,0,0,1430,14,1,1,122000,9,0,2,2,2,1,1,1,5,2,4,0,0
184037,"H",2,4002,1,42,1000000,1001264,53,2,1,1,1,0,1,3,2,1,2,2,0,2,2,50,2,2,2,30,1,1,330,1,0,1,0,0,0,3,2,1,4,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,2,1400,18,4,0,0,0,76650,4,0,1,0,0,1,1,76650,9,0,4,4,4,1,1,1,2,0,2,0,0
184041,"H",2,803,1,42,1000000,1001264,31,2,1,1,3,1,1,4,2,1,2,2,0,2,1,80,2,2,380,3,1,4,0,1,0,2,0,0,0,0,2,1,7,2,350,1,9,2,1,0,1,1,3,1,0,0,2,2,1,0,0,0,0,0,0,0,0,462,3,3,5,171000,9,0,4,4,4,1,1,1,3,0,0,0,17028.507
184070,"H",2,802,1,42,1000000,1001264,116,1,1,1,1,0,1,2,3,2,2,2,0,2,2,70,2,2,2,30,1,1,1100,1,0,1,2,790,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,110000,1,1200,7,0,0,0,0,0,0,0,0,0,0,1,4,44000,9,0,4,4,4,1,1,1,3,0,0,0,-7.27595761418343e-12
184088,"H",2,2301,1,42,1000000,1001264,149,2,1,1,0,0,1,2,4,1,0,2,0,2,2,280,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,6,2,630,1,9,2,1,0,1,1,3,1,0,0,2,1,4,0,0,0,0,0,0,0,0,910,16,1,7,70000,9,0,4,4,4,1,1,1,4,0,0,0,0
184173,"H",2,1501,1,42,1000000,1001264,45,2,1,1,1,0,1,2,2,1,2,2,0,2,2,100,2,2,2,50,1,1,900,1,0,1,2,800,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,135000,3,800,3,4,0,0,0,72720,4,0,0,0,0,1,1,72720,9,0,4,4,4,1,1,1,3,0,2,0,0
184197,"H",2,803,1,42,1000000,1001264,37,1,1,1,2,1,1,3,2,1,2,2,0,1,1,140,2,2,2,3,1,3,150,1,0,2,2,1000,2,1,2,1,4,0,0,1,9,1,1,0,1,1,1,1,0,220000,1,2,7,0,0,0,0,0,0,0,0,0,0,1,6,107000,9,0,4,4,4,1,1,1,5,0,0,0,0
184265,"H",2,300,1,42,1000000,1001264,158,6,1,1,1,0,1,5,2,2,2,2,0,2,1,350,2,2,2,3,1,3,1000,1,0,2,2,1400,1,1,2,1,11,0,0,1,9,2,1,0,1,1,1,1,0,230000,2,1100,4,2,0,0,0,85000,3,0,0,0,0,1,1,85000,9,0,3,3,3,1,1,1,2,4,6,0,0
184282,"H",2,1804,1,42,1000000,1001264,50,1,1,3,1,0,1,3,3,0,2,2,0,0,0,110,0,2,2,80,2,1,300,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,25000,1,480,4,0,0,0,0,0,0,0,0,0,0,1,4,28310,9,0,4,4,4,1,1,1,5,0,0,0,5.45696821063757e-12
184302,"H",2,3402,1,42,1000000,1001264,101,2,1,1,1,0,1,4,2,2,1,2,0,2,2,250,1,2,2,50,1,3,1400,1,0,2,2,1000,2,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,425000,2,1300,4,2,0,0,0,122900,4,0,1,0,0,1,1,122900,9,0,4,4,4,1,1,1,7,0,2,0,0
184309,"H",2,2002,1,42,1000000,1001264,113,1,1,1,1,0,1,3,2,1,2,2,0,2,1,80,1,2,2,80,1,1,0,1,0,1,0,0,0,0,2,1,6,2,750,1,9,1,1,0,1,1,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,910,22,1,4,50000,9,0,4,4,4,1,1,1,4,0,0,0,-7.27595761418343e-12
184332,"H",2,3900,1,42,1000000,1001264,95,2,1,1,1,0,1,3,2,2,2,2,0,1,2,160,2,2,2,90,2,1,700,1,0,2,2,840,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,279000,2,1000,7,2,0,0,0,91000,4,0,0,0,0,1,1,91000,9,0,4,4,4,1,1,1,5,0,2,0,0
184371,"H",2,801,1,42,1000000,1001264,49,2,1,1,1,0,1,3,2,2,2,2,0,2,2,330,2,2,2,3,1,3,700,1,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,180000,1,750,5,7,0,0,0,150000,2,0,0,0,0,1,3,150000,9,0,2,2,2,1,1,1,4,1,2,0,0
184439,"H",2,300,1,42,1000000,1001264,111,2,1,1,1,0,1,3,2,1,2,2,0,2,1,120,2,2,2,70,2,1,600,1,0,1,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,125000,2,50,3,2,1,0,1,107900,4,0,0,0,0,1,1,107900,9,0,4,4,4,1,1,1,7,0,2,0,0
184462,"H",2,2003,1,42,1000000,1001264,25,2,1,1,1,0,1,4,2,2,2,2,0,2,2,50,2,2,2,140,1,1,800,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,56000,1,1100,1,4,0,0,0,27530,4,0,0,0,0,1,1,27530,9,0,4,4,4,1,1,1,4,0,2,0,0
184507,"H",2,3502,1,42,1000000,1001264,144,1,1,1,1,0,1,3,2,2,2,2,0,1,2,120,2,2,2,80,2,1,420,1,0,2,2,500,2,1,2,1,6,0,0,1,9,2,1,100,1,1,1,1,0,2e+05,1,440,4,0,0,0,1,0,0,0,0,0,0,1,6,31620,9,0,4,4,4,1,1,1,7,0,0,0,0
184537,"H",2,1900,1,42,1000000,1001264,415,2,1,1,0,0,1,2,9,1,0,2,0,2,2,1,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,500,1,9,2,1,0,1,1,3,1,0,0,0,1,8,0,0,1,1,0,0,0,0,500,101,1,5,2200,9,0,4,4,4,1,1,1,1,0,0,0,0
184608,"H",2,3101,1,42,1000000,1001264,249,2,1,1,1,0,1,4,2,1,2,2,0,2,2,230,2,2,2,2,1,1,1000,1,0,1,1,2200,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,345000,2,610,7,1,0,0,0,136500,4,0,0,0,0,1,1,136500,9,0,4,4,4,1,1,1,2,0,2,0,0
184621,"H",2,2100,1,42,1000000,1001264,52,1,1,1,1,0,1,2,2,2,2,2,0,2,2,80,2,2,2,40,1,1,560,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,85000,1,320,3,0,0,0,0,0,0,0,0,0,0,1,6,47700,9,0,4,4,4,1,1,1,5,0,0,0,0.00099999998928979
184649,"H",2,3203,1,42,1000000,1001264,155,3,1,1,1,0,1,2,3,1,2,2,0,2,2,60,2,1,2,50,1,1,0,2,0,2,0,0,0,0,2,1,5,0,0,1,9,2,1,0,1,1,4,1,0,0,1,600,3,4,0,0,0,35800,4,0,0,0,0,1,1,35800,9,0,4,4,4,1,1,1,5,0,3,0,7.27595761418343e-12
184683,"H",2,1807,1,42,1000000,1001264,84,4,1,1,1,0,1,5,2,2,2,2,0,2,2,150,2,2,2,150,1,1,2000,1,0,1,0,0,0,3,2,1,12,0,0,1,9,2,1,0,1,1,2,1,0,8e+05,2,700,7,1,0,0,0,221000,2,0,1,0,0,1,1,221000,9,0,2,2,2,1,1,1,4,2,4,0,0.00100000000384171
184758,"H",2,500,1,42,1000000,1001264,43,1,1,1,0,0,1,3,4,2,0,2,0,2,1,300,2,2,2,3,2,3,970,1,0,2,1,890,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,180000,1,2,6,0,0,0,0,0,0,0,1,0,0,1,6,16900,9,0,4,4,4,1,1,1,3,0,0,0,0
184915,"H",2,1807,1,42,1000000,1001264,136,2,1,1,1,0,1,3,2,2,2,2,0,2,2,210,1,2,2,130,1,1,720,1,0,2,2,100,2,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,199000,2,1200,5,1,0,0,0,188000,4,0,0,0,0,1,1,188000,9,0,4,4,4,1,1,1,6,0,2,0,1.45519152283669e-11
184939,"H",2,2901,1,42,1000000,1001264,253,5,1,1,1,0,1,3,2,2,2,2,0,2,2,180,2,2,2,3,2,3,500,1,0,1,1,1700,1,1,2,1,10,0,0,1,9,2,1,0,1,1,1,1,0,225000,1,300,5,2,0,0,0,21770,1,0,0,0,0,1,1,21770,9,0,1,1,1,1,1,1,1,3,5,0,0
184962,"H",2,3205,1,42,1000000,1001264,116,1,1,1,1,0,1,5,2,1,2,2,0,2,2,100,2,1,2,100,1,1,0,2,0,2,0,0,0,0,2,1,7,2,400,1,9,2,1,0,1,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,600,101,1,6,5500,9,0,4,4,4,1,1,1,7,0,0,0,7.27595761418343e-12
184978,"H",2,3102,1,42,1000000,1001264,58,3,1,1,0,0,1,2,9,2,0,2,0,2,2,20,1,2,2,1,1,1,0,1,0,2,0,0,0,0,2,1,4,2,1100,1,9,2,1,0,1,1,3,1,0,0,1,1,4,2,0,0,0,64000,1,0,0,1120,21,3,1,64000,9,0,1,1,1,1,1,1,3,1,3,0,-7.27595761418343e-12
185075,"H",2,2002,1,42,1000000,1001264,94,2,1,1,1,0,1,4,2,1,2,2,0,2,2,80,2,2,2,90,1,1,470,1,0,1,2,1300,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,165000,2,680,3,3,0,0,0,85900,4,0,0,0,0,1,1,85900,9,0,4,4,4,1,1,1,7,0,2,0,0
185121,"H",2,2500,1,42,1000000,1001264,47,4,1,3,1,0,1,3,2,0,2,2,0,0,0,120,0,1,2,130,1,1,0,2,0,0,0,0,0,0,0,1,7,2,250,1,9,0,1,0,1,1,3,1,0,0,2,740,1,5,1,0,1,34970,4,0,0,562,18,1,2,37170,9,0,4,4,4,1,1,1,7,0,2,0,0.00100000000020373
185125,"H",2,3601,1,42,1000000,1001264,94,2,1,1,1,0,1,3,2,1,2,2,0,2,2,4,2,2,2,30,2,1,600,1,0,2,2,570,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,155000,2,610,5,1,0,0,0,77000,4,0,1,0,0,1,1,77000,9,0,4,4,4,1,1,1,1,0,2,0,0
185228,"H",2,3104,1,42,1000000,1001264,96,2,1,1,0,0,1,2,7,1,0,2,0,2,2,190,2,2,2,3,1,1,0,1,0,1,0,0,0,0,2,1,3,2,1600,1,9,2,1,0,1,1,3,1,0,0,2,420,7,1,0,0,0,180020,4,0,0,1825,12,1,1,180020,9,0,4,4,4,1,1,1,4,0,2,0,0
185401,"H",2,102,1,42,1000000,1001264,147,2,1,1,2,1,1,5,2,2,2,2,0,2,2,330,2,2,2,350,1,1,5600,1,0,1,0,0,0,3,2,1,16,0,0,1,9,2,1,0,1,1,2,1,0,6e+05,4,500,7,2,1,0,1,262000,4,0,0,0,0,1,1,262000,9,0,4,4,4,1,1,1,6,0,2,0,3.63797880709171e-12
185409,"H",2,2802,1,42,1000000,1001264,98,3,1,1,1,0,1,3,2,1,2,2,0,2,2,180,1,2,2,30,1,1,1200,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,375000,4,200,9,1,1,0,1,93000,4,0,0,0,0,1,1,93000,9,0,4,4,4,1,1,1,4,0,3,0,0
185419,"H",2,1200,1,42,1000000,1001264,104,1,1,1,1,0,1,3,2,2,2,2,0,2,1,90,2,2,2,40,1,1,440,1,0,2,2,30,2,1,2,1,6,0,0,1,9,1,1,0,1,1,1,1,0,290000,1,500,7,0,0,0,0,0,0,0,0,0,0,1,6,44000,9,0,4,4,4,1,1,1,3,0,0,0,0
185442,"H",2,2401,1,42,1000000,1001264,65,1,1,1,0,0,1,1,9,1,0,2,0,2,2,1,2,2,2,1,1,3,0,1,0,2,0,0,0,0,2,1,4,2,750,1,9,2,1,0,1,1,3,1,0,0,1,1,5,0,0,0,0,0,0,0,0,750,69,1,4,13000,9,0,4,4,4,1,1,1,1,0,0,0,0
185500,"H",2,3301,1,42,1000000,1001264,98,2,1,1,2,1,1,4,2,1,2,2,0,2,2,640,1,2,2,150,1,1,1000,1,0,2,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,650000,3,200,6,1,0,0,0,528000,4,0,0,0,0,1,1,528000,9,0,4,4,4,1,1,1,5,0,2,0,0
185506,"H",2,3401,1,42,1000000,1001264,512,1,1,3,2,1,1,4,2,0,2,2,0,0,0,120,0,2,2,3,2,3,1200,2,0,0,0,0,0,3,0,1,7,0,0,1,9,0,1,0,1,1,2,1,0,3e+05,2,780,5,0,0,0,1,0,0,0,0,0,0,1,6,41400,9,0,4,4,4,1,1,1,7,0,0,0,0
185559,"H",2,3106,1,42,1000000,1001264,107,2,1,1,2,1,1,4,2,1,2,2,0,2,2,210,2,2,2,2,1,1,5600,1,0,1,2,2400,2,1,2,1,8,0,0,1,9,2,1,80,1,1,1,1,0,1813000,6,600,7,1,0,0,0,83200,4,0,1,0,0,1,1,83200,9,0,4,4,4,1,1,1,6,0,2,0,7.27595761418343e-12
