"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUNG"
82466,"H",2,3103,1,42,1000000,1001264,57,8,1,1,1,0,1,3,2,1,2,2,0,2,2,100,2,2,2,3,1,1,770,1,0,1,1,690,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,150000,4,1500,1,7,1,0,1,164800,2,0,1,0,0,1,3,164800,9,1,2,4,2,1,1,2,7,0,8,0,0
82504,"H",2,3304,1,42,1000000,1001264,106,4,1,1,1,0,1,4,2,1,2,2,0,2,2,120,1,2,2,50,1,1,1200,1,0,2,2,2700,1,1,2,1,9,0,0,1,9,2,1,220,1,1,1,1,0,535000,2,1500,1,2,0,0,0,157400,2,0,0,0,0,1,1,157400,9,0,2,2,2,1,1,1,1,2,4,0,64715.682
82547,"H",2,3204,1,42,1000000,1001264,142,1,1,3,1,0,1,3,3,0,2,2,0,0,0,60,0,2,2,70,2,1,0,2,0,0,0,0,0,0,0,1,5,2,600,1,9,0,1,0,1,1,3,1,0,0,0,720,1,0,0,0,0,0,0,0,0,790,61,2,4,15600,9,0,4,4,4,1,2,1,1,0,0,0,11225.85
82567,"H",2,1200,1,42,1000000,1001264,179,2,1,1,1,0,1,4,2,2,2,2,0,2,1,90,2,2,1800,3,2,4,600,1,0,2,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,80000,2,1400,1,8,1,0,1,100800,4,0,0,0,0,1,3,100800,9,0,4,4,4,1,1,1,7,0,2,0,72108.608
82570,"H",2,3002,1,42,1000000,1001264,93,1,1,3,1,0,1,3,2,0,2,2,0,0,0,20,0,2,2,20,2,1,0,2,0,0,0,0,0,3,0,1,8,0,0,1,9,0,1,0,1,1,2,1,0,280000,1,190,3,0,0,0,1,0,0,0,1,0,0,1,6,23100,9,0,4,4,4,1,1,1,7,0,0,0,5501.588
82610,"H",2,1100,1,42,1000000,1001264,47,2,1,2,2,1,1,3,2,0,2,2,0,0,0,70,0,2,2,3,2,3,400,1,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,195000,2,2,7,4,1,0,1,93000,4,0,0,0,0,1,1,93000,9,0,4,4,4,1,1,1,5,0,2,0,0
82684,"H",2,3501,1,42,1000000,1001264,147,4,1,1,1,0,1,4,2,2,2,2,0,2,2,130,2,2,1200,3,1,4,180,1,0,1,1,1800,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,260000,2,400,3,1,0,0,0,113000,1,0,0,0,0,1,1,113000,9,0,1,1,1,1,1,1,4,2,4,0,42427.946
82728,"H",2,803,1,42,1000000,1001264,41,1,1,2,2,1,1,2,2,0,2,2,0,0,0,180,0,2,2,20,1,8,630,1,0,0,1,680,1,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,120000,1,2,6,0,0,0,0,0,0,0,1,0,0,1,6,52000,9,0,4,4,4,1,1,1,2,0,0,0,22624.837
82788,"H",2,3402,1,42,1000000,1001264,99,4,1,1,1,0,1,3,3,1,2,2,0,2,1,70,2,2,2,60,1,1,900,1,0,2,2,1800,1,1,2,1,6,0,0,1,9,2,1,0,2,1,1,1,0,350000,2,70,8,1,0,0,0,220000,2,0,0,0,0,5,1,220000,9,0,2,2,2,2,1,1,1,2,4,0,57511.248
82806,"H",2,4002,1,42,1000000,1001264,57,1,1,3,1,0,1,2,2,0,2,2,0,0,0,60,0,2,2,60,2,1,500,2,0,0,2,310,2,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,65000,1,120,3,0,0,0,0,0,0,0,0,0,0,1,6,19600,9,0,4,4,4,1,1,1,6,0,0,0,38420.273
82822,"H",2,1200,1,42,1000000,1001264,159,2,1,1,1,0,1,2,2,2,2,2,0,2,2,170,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,850,1,9,2,1,0,1,1,3,1,0,0,2,1,5,0,0,1,0,0,0,0,0,1020,17,1,7,70700,9,0,4,4,4,1,1,1,1,0,0,0,0
82823,"H",2,3800,1,42,1000000,1001264,29,3,1,3,1,0,1,4,2,0,2,2,0,0,0,160,0,2,900,3,2,4,0,2,0,0,0,0,0,3,0,1,9,0,0,1,9,0,1,0,1,1,2,1,0,70000,1,500,1,4,1,0,1,49680,4,0,1,0,0,1,1,49680,9,0,4,4,4,1,1,1,7,0,3,0,49085.625
82868,"H",2,1300,1,42,1000000,1001264,75,4,1,1,1,0,1,3,2,2,2,2,0,2,2,50,2,2,2,30,1,1,400,1,0,1,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,130000,2,1000,5,2,0,0,0,103000,2,0,0,0,0,4,1,103000,9,0,2,2,2,1,1,1,5,2,4,0,9870.558
82939,"H",2,1805,1,42,1000000,1001264,77,1,1,3,1,0,1,3,2,0,2,2,0,0,0,80,0,2,2,70,1,1,900,2,0,0,1,500,1,1,0,1,6,0,0,1,9,0,1,0,1,1,1,1,0,55000,1,600,2,0,0,0,1,0,0,0,0,0,0,1,4,60000,9,0,4,4,4,1,1,1,5,0,0,0,61466.922
82952,"H",2,600,1,42,1000000,1001264,149,2,1,1,2,1,1,4,2,1,2,2,0,2,2,160,2,2,1500,3,1,4,1400,1,0,1,2,1000,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,250000,2,2,7,1,0,0,0,225000,4,0,1,0,0,1,1,225000,9,0,4,4,4,1,1,1,6,0,2,0,16916.883
82970,"H",2,300,1,42,1000000,1001264,154,3,1,1,2,1,1,3,2,2,2,2,0,2,2,70,2,2,2,60,2,1,610,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,79000,2,180,4,4,0,0,0,54000,4,0,0,0,0,1,1,54000,9,0,4,4,4,1,1,1,7,0,3,0,0
82977,"H",2,1300,1,42,1000000,1001264,23,2,1,1,2,1,1,2,1,2,2,2,0,1,2,210,2,2,2,150,2,2,600,1,530,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,60000,2,2,6,1,1,0,1,98400,4,0,0,0,0,1,1,98400,9,0,4,4,4,1,1,1,7,0,2,0,0
83003,"H",2,3303,1,42,1000000,1001264,132,1,1,2,1,0,1,3,2,0,2,2,0,0,0,130,0,2,2,30,1,1,0,1,0,0,0,0,0,0,0,1,6,2,1500,1,9,0,1,0,1,1,3,1,0,0,1,200,3,0,0,0,0,0,0,0,0,1677,24,1,6,85000,9,0,4,4,4,1,1,1,3,0,0,0,0
83058,"H",2,2701,1,42,1000000,1001264,71,5,1,1,1,0,1,4,2,1,2,2,0,2,2,100,2,2,2,100,1,1,900,1,0,1,2,1200,2,1,2,1,8,0,0,1,9,2,1,120,1,1,1,1,0,213000,2,1200,3,1,0,0,0,124000,2,0,0,0,0,1,1,124000,9,0,2,2,2,1,1,1,5,1,5,0,34758.333
83071,"H",2,3103,1,42,1000000,1001264,90,2,1,1,1,0,1,4,2,2,2,2,0,2,2,550,2,2,2,3,1,3,2500,2,0,1,2,1900,2,1,2,1,10,0,0,1,9,2,1,500,1,1,1,1,0,630000,3,3000,6,0,0,0,1,0,0,0,0,0,0,1,5,483000,9,0,4,4,4,1,1,1,3,0,0,0,146592.36
83090,"H",2,3603,1,42,1000000,1001264,90,2,1,1,1,0,1,3,2,1,2,2,0,2,1,260,2,2,2,20,1,1,530,1,0,2,1,1800,1,1,2,1,11,0,0,1,9,2,1,0,1,1,1,1,0,375000,2,600,17,2,0,0,0,180330,4,0,0,0,0,1,1,180330,9,0,4,4,4,1,1,1,3,0,2,0,55126.421
83153,"H",2,2703,1,42,1000000,1001264,56,1,1,3,1,0,1,3,2,0,2,2,0,0,0,80,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,5,0,0,1,9,0,1,0,1,2,4,1,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,1,4,6500,9,0,4,4,4,1,1,1,3,0,0,0,16326.183
83221,"H",2,1200,1,42,1000000,1001264,104,1,1,3,2,1,1,3,2,0,2,2,0,0,0,50,0,2,130,300,2,2,0,2,0,0,0,0,0,0,0,1,7,0,0,1,9,0,1,0,1,1,4,2,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,6,19200,9,0,4,4,4,1,1,1,7,0,0,0,35609.522
83224,"H",2,4002,1,42,1000000,1001264,19,2,1,1,2,1,1,3,2,2,2,2,0,2,1,150,2,2,2,200,2,1,1200,1,0,2,1,1000,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,150000,2,2,5,1,1,0,1,25000,4,0,0,0,0,1,1,25000,9,0,4,4,4,1,1,1,5,0,2,0,0
83237,"H",2,3202,1,42,1000000,1001264,139,1,1,3,0,0,1,2,9,0,0,2,0,0,0,140,0,1,2,3,2,1,0,1,0,0,0,0,0,0,0,1,4,2,570,1,9,0,1,0,1,1,3,1,0,0,0,2,4,0,0,0,0,0,0,0,0,710,101,2,4,800,9,0,4,4,4,1,2,1,3,0,0,0,41590.361
83239,"H",2,3103,1,42,1000000,1001264,97,2,1,1,1,0,1,5,2,1,2,2,0,2,2,170,1,2,5400,20,1,4,1100,1,0,2,2,3000,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,650000,2,870,1,1,0,0,0,105000,4,0,0,0,0,1,1,105000,9,0,4,4,4,1,1,1,7,0,2,0,126231.333
83285,"H",2,2703,1,42,1000000,1001264,87,3,1,1,1,0,1,4,2,2,2,1,0,2,2,210,2,2,2,200,1,1,1200,1,0,1,1,1000,1,1,2,1,13,0,0,1,9,2,1,0,1,1,1,1,0,325000,3,50,7,1,0,0,0,251100,2,0,1,0,0,1,1,251100,9,0,2,2,2,1,1,1,5,1,3,0,92968.314
83287,"H",2,400,1,42,1000000,1001264,24,1,1,3,1,0,1,3,2,0,1,2,0,0,0,20,0,1,3300,3,2,4,0,2,0,0,2,310,2,1,0,1,8,0,0,1,9,0,1,0,1,1,1,1,0,90000,0,410,1,0,0,0,0,0,0,0,1,0,0,1,6,15500,9,0,4,4,4,1,1,1,4,0,0,0,0
83376,"H",2,2001,1,42,1000000,1001264,49,4,1,1,1,0,1,2,2,2,2,2,0,2,1,100,2,2,2,110,1,1,700,1,0,2,1,640,1,1,2,1,5,0,0,1,9,2,1,230,1,1,1,1,0,80000,1,2300,1,1,0,0,0,109000,4,0,0,0,0,1,1,109000,9,0,4,4,4,1,1,1,5,0,4,0,24035.155
