"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
188168,"H",2,3800,1,42,1000000,1001264,20,1,1,3,2,1,1,3,2,0,2,2,0,0,0,50,0,2,2,50,2,4,0,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,29000,1,900,3,0,0,0,1,0,0,0,0,0,0,1,6,20,9,0,4,4,4,1,1,1,7,0,0,0,14819.32
188395,"H",2,3304,1,42,1000000,1001264,126,2,1,1,1,0,1,2,2,1,2,2,0,2,2,90,2,2,1000,3,1,4,800,1,0,1,2,1200,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,270000,1,40,1,7,0,0,0,52000,2,0,0,0,0,1,3,52000,9,0,2,2,2,1,1,1,4,1,2,0,27060.746
188451,"H",2,1701,1,42,1000000,1001264,213,1,1,1,0,0,1,1,9,1,0,2,0,2,2,30,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,900,1,9,2,1,0,1,1,3,1,0,0,1,2,6,0,0,0,0,0,0,0,0,930,37,1,6,30000,9,0,4,4,4,1,1,1,2,0,0,0,6943.758
188468,"H",2,3503,1,42,1000000,1001264,43,2,1,1,1,0,1,1,1,2,2,2,0,2,1,130,2,1,100,3,2,4,0,1,5000,2,2,200,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,12000,1,1,6,4,0,0,0,18600,4,0,0,0,0,1,1,18600,9,0,4,4,4,1,1,1,3,0,2,0,51232
188500,"H",2,1000,1,42,1000000,1001264,30,2,1,1,2,1,1,4,2,2,2,2,0,2,1,110,2,2,1500,10,2,4,1200,1,0,2,2,600,2,1,2,1,8,0,0,1,9,2,1,400,1,1,1,1,0,125000,2,2,1,2,0,0,0,32000,4,0,0,0,0,1,1,32000,9,0,4,4,4,1,1,1,6,0,2,0,31737.804
188508,"H",2,1900,1,42,1000000,1001264,10,4,1,1,1,0,1,4,2,1,2,2,0,2,2,170,2,2,2,40,1,1,640,1,0,2,2,460,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,120000,3,650,1,1,0,0,0,45004,2,0,0,0,0,1,1,45004,9,0,3,3,3,1,1,1,4,2,4,0,64658.691
188544,"H",2,300,1,42,1000000,1001264,37,3,1,1,2,1,1,3,2,2,2,2,0,2,2,180,2,2,2,210,1,1,1400,1,0,1,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,80000,4,200,5,4,1,0,1,95360,4,0,0,0,0,1,1,95360,9,0,4,4,4,1,1,1,5,0,3,0,52304.529
188658,"H",2,2803,1,42,1000000,1001264,119,3,1,1,0,0,1,2,6,2,0,2,0,2,1,80,2,2,2,120,1,1,0,1,0,2,0,0,0,0,2,1,4,2,730,1,9,2,1,0,1,1,3,1,0,0,2,1,1,5,1,0,1,57000,2,0,0,930,20,2,2,57000,9,0,2,2,2,1,1,1,4,1,3,0,20723.904
188717,"H",2,4001,1,42,1000000,1001264,29,3,1,1,1,0,1,3,2,2,2,2,0,2,1,110,2,2,100,230,1,1,600,1,0,2,2,320,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,190000,2,1200,1,4,1,0,1,110280,4,0,0,0,0,1,1,110280,9,0,4,4,4,1,1,1,7,0,3,0,47634.12
188959,"H",2,1702,1,42,1000000,1001264,86,2,1,3,1,0,1,2,2,0,2,2,0,0,0,140,0,2,2,60,2,1,850,2,0,0,0,0,0,3,0,1,4,0,0,1,9,0,1,0,1,1,2,1,0,50000,3,460,2,0,0,0,0,0,0,0,1,0,0,1,5,38000,9,0,4,4,4,1,1,1,7,0,0,0,62776.748
